location,community,nfmembers,membership,ntfp,murumuru,pataua,palmito,wood,sawmill,farinha,pepper,agriculture,acai,passionf,cocoa,cupuacu,fishing,chicken,crab,shrimp,defeso,bverde,bfamilia,pension,other,total,community
Tomé-Açu,Santa Luzia,4,0,0,0,0,0,0,0,0,28350,0,0,0,2150,900,0,0,0,0,0,0,0,10024,1400,42824,Tomé-Açu
Tomé-Açu,Santa Tereza,2,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,9456,0,10156,Tomé-Açu
Tomé-Açu,Travessa Santana,2,0,0,0,0,0,0,0,0,5600,0,500,0,0,0,0,0,0,0,0,0,0,0,0,6100,Tomé-Açu
Tomé-Açu,Travessa Santana,3,0,0,0,0,0,0,0,0,84000,0,750,0,0,500,0,0,0,0,0,0,0,0,0,85250,Tomé-Açu
Tomé-Açu,Travessa Santana,7,0,0,0,0,0,0,0,0,29700,0,0,0,720,1620,0,0,0,0,0,0,3120,0,0,35160,Tomé-Açu
Tomé-Açu,Travessa Santana,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20048,0,20048,Tomé-Açu
Tomé-Açu,Travessa Santana,3,0,0,0,0,0,0,0,0,56000,0,0,0,0,0,0,0,0,0,0,0,1344,0,0,57344,Tomé-Açu
Tomé-Açu,,9,0,0,0,0,0,0,0,0,405000,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,409200,Tomé-Açu
Tomé-Açu,,5,0,0,0,0,0,0,0,0,42000,0,0,156,1792,0,0,0,0,0,0,0,0,0,14184,58132,Tomé-Açu
Tomé-Açu,,4,0,0,0,0,0,0,0,0,44800,0,6400,0,0,4800,0,0,0,0,0,0,0,0,0,56000,Tomé-Açu
Igarapé-Miri,Meruú,5,1,0,0,0,0,0,0,0,0,0,35820,0,0,0,0,0,0,0,0,0,0,0,0,35820,Igarapé-Miri
Igarapé-Miri,Meruú,4,1,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,0,0,0,0,2040,0,0,62040,Igarapé-Miri
Igarapé-Miri,Meruú,5,1,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,1848,0,0,151848,Igarapé-Miri
Igarapé-Miri,Meruú,4,1,0,0,0,0,0,0,0,0,0,24750,0,0,0,0,0,0,0,0,0,0,0,0,24750,Igarapé-Miri
Igarapé-Miri,Meruú,4,1,0,0,0,0,0,0,0,0,0,116600,0,0,0,0,0,0,0,0,0,0,21120,0,137720,Igarapé-Miri
Igarapé-Miri,Meruú,4,1,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,21120,0,45120,Igarapé-Miri
Igarapé-Miri,Meruú,7,1,0,0,0,0,0,0,0,0,0,4230,0,0,0,0,0,0,0,0,0,3996,0,9000,17226,Igarapé-Miri
Igarapé-Miri,Meruú,9,1,0,0,0,0,0,0,0,0,0,9600,0,0,0,0,0,0,0,0,0,0,0,0,9600,Igarapé-Miri
Igarapé-Miri,Meruú,6,1,0,0,0,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,0,4440,0,0,40440,Igarapé-Miri
Igarapé-Miri,Meruú,5,1,0,0,0,0,0,0,0,0,0,52500,0,0,0,0,0,0,0,0,0,924,0,0,53424,Igarapé-Miri
Igarapé-Miri,Meruú,4,1,0,0,0,0,0,0,0,0,0,19920,0,0,0,0,0,0,0,0,0,0,0,10560,30480,Igarapé-Miri
Igarapé-Miri,Meruú,4,1,0,0,0,0,0,0,0,0,0,38280,0,0,0,0,0,0,0,0,0,1932,0,0,40212,Igarapé-Miri
Igarapé-Miri,Meruú,3,1,0,0,0,0,0,0,0,0,0,54000,0,0,0,0,0,0,0,0,0,0,10560,0,64560,Igarapé-Miri
Igarapé-Miri,Meruú,5,1,0,0,0,0,0,0,0,0,0,27600,0,0,0,0,0,0,0,0,0,840,0,0,28440,Igarapé-Miri
Igarapé-Miri,Meruú,5,1,0,0,0,0,0,0,0,0,0,53340,0,0,0,0,0,0,0,0,0,2160,0,1400,56900,Igarapé-Miri
Igarapé-Miri,Meruú,3,1,0,0,0,0,0,0,0,0,0,83640,0,0,0,0,0,0,0,0,0,840,0,0,84480,Igarapé-Miri
Igarapé-Miri,Meruú,2,0,0,0,0,0,0,0,0,0,0,155000,0,0,0,0,0,0,0,0,0,0,0,0,155000,Igarapé-Miri
Igarapé-Miri,Meruú,7,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,21120,0,37120,Igarapé-Miri
Igarapé-Miri,Meruú,3,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,852,0,0,6852,Igarapé-Miri
Igarapé-Miri,Meruú,6,0,0,0,0,0,0,0,0,0,0,108000,0,0,0,0,0,0,0,0,0,1404,0,0,109404,Igarapé-Miri
Igarapé-Miri,Meruú,1,0,0,0,0,0,0,0,0,0,0,52500,0,0,0,0,0,0,0,0,0,0,0,0,52500,Igarapé-Miri
Igarapé-Miri,Meruú,2,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,21120,0,39120,Igarapé-Miri
Igarapé-Miri,Meruú,2,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,924,0,0,4524,Igarapé-Miri
Igarapé-Miri,Meruú,5,0,0,0,0,0,0,0,0,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1500,10600,Igarapé-Miri
